	Mo.Ly6C-.Bl#1	Mo.Ly6C-.Bl#2	Mo.Ly6C-.Bl#3	Mo.Ly6C-.Bl.KPd17#1	Mo.Ly6C-.Bl.KPd17#2	Mo.Ly6C-.Bl.KPd17#3	Mo.Ly6C-Bl.KPd28#1	Mo.Ly6C-Bl.KPd28#2	Mo.Ly6C-Bl.KPd28#3
Bag4	46	69	39	59	116	65	44	51	60
Bag5	360	199	207	171	197	75	123	191	195
Bag6	408	180	160	226	179	128	103	145	187
Bahcc1	2	10	1	5	7	5	6	13	7
Bahd1	117	58	44	107	114	49	67	92	71
Baiap2	34	33	16	27	16	12	61	89	44
Baiap2l1	27	26	28	20	29	25	18	12	31
Baiap2l2	1	2	0	0	0	1	1	2	2
Baiap3	46	36	2	75	8	31	56	30	13
Bak1	53	30	13	40	32	48	27	38	32
Bambi	60	35	1	27	37	26	35	28	30
Banf1	883	311	471	347	253	238	175	247	275
Banf2	1	1	0	0	0	0	1	0	1
Bank1	150	150	1	142	189	119	172	80	147
Banp	289	188	144	226	288	145	163	147	194
Bap1	388	370	333	377	418	354	251	326	368
Bard1	39	60	9	71	47	44	33	24	32
Barhl1	0	0	1	0	1	2	1	0	1
Barhl2	0	1	0	0	0	1	0	2	0
Barx1	0	0	0	0	0	0	0	1	0
Barx2	0	1	1	2	1	0	0	1	0
Basp1	2	0	8	0	0	3	4	0	2
Batf	233	100	326	123	104	80	95	114	122
Batf2	10	4	5	11	10	18	7	30	11
Batf3	39	21	47	15	18	14	32	43	64
Bax	402	180	260	183	211	145	111	214	217
Baz1a	488	327	966	431	386	232	322	372	433
Baz1b	711	587	296	610	617	441	475	443	551
Baz2a	807	653	269	716	678	443	415	615	644
Baz2b	1017	732	535	774	776	563	436	613	641
Bbc3	127	59	10	64	78	44	21	42	59
Bbip1	349	212	227	221	225	119	131	170	156
Bbof1	2	1	2	1	0	3	4	2	8
Bbox1	8	13	0	22	5	2	6	7	1
Bbs1	9	4	3	8	7	2	5	3	14
Bbs10	48	41	62	62	17	8	18	20	16
Bbs12	14	11	7	6	16	1	5	20	7
Bbs2	33	33	32	20	29	17	43	34	32
Bbs4	79	51	68	48	31	38	36	59	32
Bbs5	7	12	26	19	9	9	7	21	18
Bbs7	18	17	48	23	19	11	12	16	7
Bbs9	30	53	79	69	75	27	37	37	39
Bbx	537	376	342	374	370	260	281	310	371
Bcam	1	4	84	16	5	0	4	31	3
Bcan	0	6	0	2	3	0	0	0	4
Bcap29	512	286	490	314	249	262	203	320	330
Bcap31	1986	831	895	787	683	541	402	492	629
Bcar1	2	2	0	6	0	7	5	0	0
Bcar3	6	10	1297	10	3	4	10	14	5
Bcas1	27	23	40	17	13	0	10	16	12
Bcas2	580	374	408	360	358	261	234	316	278
Bcas3	206	196	213	177	207	121	137	164	130
Bcat1	3	16	3	44	4	0	7	14	5
Bcat2	261	149	246	140	121	93	111	120	163
Bccip	437	200	244	236	180	129	103	164	187
Bcdin3d	90	72	64	57	49	46	43	55	38
Bche	0	1	3	0	8	3	5	4	2
Bckdha	63	34	43	48	23	27	19	26	17
Bckdhb	29	29	255	20	26	13	21	32	31
